,Week Number,Referral Screen Mins,Referrals Rejected,Referrals Delay Opt-in,Referrals Opted-in,Referrals Wait Opt-in,TA Total Accept,Run
3,3,6681.959174403417,95.0,0.3629505361282635,121.0,1.6769262318330322,15.0,5
4,4,9172.456812484777,124.0,0.3451210238154845,167.0,1.6183631912815033,20.0,5
5,5,11500.569040293274,162.0,0.3548571231559905,206.0,1.5989185869953304,24.0,5
6,6,13740.147495468216,204.0,0.3541598221200895,243.0,1.6052865681981154,29.0,5
7,7,16023.344021094768,239.0,0.3609400737220976,289.0,1.595651114970099,34.0,5
8,8,18395.151130275844,278.0,0.3674859922854574,326.0,1.5898417841482504,39.0,5
9,9,20541.67671482471,302.0,0.36400246252191093,365.0,1.5978533815576235,44.0,5
10,10,22680.299690246728,334.0,0.3656003587581881,400.0,1.6146788236060712,48.0,5
11,11,24921.93104922445,365.0,0.3565062022660363,425.0,1.5680661988669327,53.0,5
12,12,27280.73097412446,399.0,0.3600588399810402,472.0,1.550838784098259,58.0,5
13,13,29222.51209929184,422.0,0.36088304418118156,503.0,1.5183312233053563,63.0,5
14,14,30978.16064438177,445.0,0.3579419948975044,534.0,1.5079473213722927,67.0,5
15,15,32502.930736901893,470.0,0.3603070558637823,569.0,1.5139551476763995,71.0,5
16,16,34489.35327850867,500.0,0.3571583532568933,608.0,1.5105957278504296,76.0,5
17,17,36481.43935662469,531.0,0.3571441392711901,650.0,1.5236112235268626,81.0,5
18,18,38268.254802915704,557.0,0.3621279689959804,683.0,1.5302516593134499,86.0,5
19,19,40153.870338616354,583.0,0.360859877490117,724.0,1.5238136129830804,91.0,5
20,20,42119.73560206284,608.0,0.36147807262468196,763.0,1.5143122893074141,96.0,5
21,21,44260.09358073052,639.0,0.3620361824299556,799.0,1.5035628761631652,101.0,5
22,22,45794.887835027985,656.0,0.36094279033859145,828.0,1.4946272581412952,106.0,5
23,23,47669.153896239965,690.0,0.364467188288497,862.0,1.5053023732897994,111.0,5
24,24,49586.36711708308,716.0,0.3664431650508463,894.0,1.5048144387267077,116.0,5
25,25,51482.921155214084,744.0,0.36934813234441466,933.0,1.497555161442636,121.0,5
26,26,53499.44849810916,774.0,0.3682750811910132,963.0,1.4904739236275826,125.0,5
27,27,55456.32088721055,813.0,0.36783631019021285,991.0,1.4833724876494339,129.0,5
28,28,57403.75890432468,842.0,0.3669989579960668,1023.0,1.4807717482985985,134.0,5
29,29,59459.38806665888,868.0,0.3648714841327167,1056.0,1.4816972198716383,138.0,5
30,30,61275.021303240545,896.0,0.3647186222116628,1088.0,1.4802364809337039,143.0,5
31,31,63041.136341072866,915.0,0.36240197971304666,1123.0,1.4773012820147435,148.0,5
32,32,65019.41960089885,943.0,0.3621811669762467,1168.0,1.4777652313178113,152.0,5
33,33,67099.35149129858,968.0,0.3597441985668807,1203.0,1.4726563123909207,157.0,5
34,34,69113.57973029625,999.0,0.3608490122668061,1246.0,1.4741515910011962,161.0,5
35,35,70946.10068700134,1029.0,0.36047902910310603,1281.0,1.4693665411598125,166.0,5
36,36,73078.11565752182,1065.0,0.3601656429458541,1319.0,1.4737174698087956,171.0,5
37,37,75246.80310490448,1093.0,0.3608619166919689,1364.0,1.4722691342261083,175.0,5
38,38,77421.63288334305,1123.0,0.3594803632794806,1402.0,1.4696586785508379,180.0,5
39,39,79669.85029881918,1157.0,0.36043297296854027,1450.0,1.4728504923169274,184.0,5
40,40,81638.83175936814,1186.0,0.36159857631670794,1482.0,1.4658052728097042,188.0,5
41,41,84115.7877443752,1227.0,0.36405718747121985,1533.0,1.4739909444091683,192.0,5
42,42,86148.53857972493,1259.0,0.36442957340712506,1572.0,1.4728996367369402,196.0,5
43,43,88112.363679947,1283.0,0.36597641323133356,1610.0,1.475297853708443,201.0,5
44,44,90368.22418009676,1318.0,0.3663422434880538,1657.0,1.4741901532519324,206.0,5
45,45,92485.55227816197,1354.0,0.3665626026579378,1697.0,1.470439526411403,211.0,5
46,46,94641.32248897059,1376.0,0.36670330595601036,1742.0,1.469281489132281,215.0,5
47,47,96882.41746864989,1414.0,0.3671289460059316,1783.0,1.47191579612093,220.0,5
48,48,98841.03097837011,1436.0,0.3673758168951157,1816.0,1.4731869437325174,225.0,5
49,49,100921.0341655685,1469.0,0.36707898452271137,1853.0,1.4798571166674421,230.0,5
50,50,102872.68986938157,1493.0,0.36757118851244297,1891.0,1.4780560703038135,235.0,5
51,51,104634.37622136873,1521.0,0.36818931665625115,1919.0,1.4772803528750433,239.0,5
0,0,0.0,0.0,0.0,0.0,0.0,0.0,6
1,1,1746.1999571500864,29.0,0.41150286049570706,31.0,1.1782238907983966,4.0,6
2,2,3976.435613567768,59.0,0.44875465073412635,81.0,1.2224905162611215,8.0,6
3,3,6569.963218629282,98.0,0.4090108348049468,128.0,1.30202184266116,13.0,6
4,4,8969.657590844567,131.0,0.37917511376565016,176.0,1.2614903864254696,17.0,6
5,5,11321.189201518842,162.0,0.38226838875373326,221.0,1.3371120423476477,22.0,6
6,6,13597.295585422467,189.0,0.38525195898039066,266.0,1.3636196627900155,26.0,6
7,7,15888.084254815974,221.0,0.3836862835235357,304.0,1.3911884553082823,30.0,6
8,8,18196.242403064804,262.0,0.3902722073651539,347.0,1.4219076834828424,35.0,6
9,9,20331.61214730423,299.0,0.38359843556113943,380.0,1.4210973737387442,40.0,6
10,10,22482.587355771724,338.0,0.3875851064698324,422.0,1.444069746568113,45.0,6
11,11,24697.745513507187,381.0,0.38836665169129253,451.0,1.4342865641227303,49.0,6
